Paper	Source	AccessionNumber	data_label	dataset_path	normalization
Zhao et al 2020	GEO	GSE125188	zhao	/path/to/GSE125188_cd45+	none
MacParland et al 2018	GEO	GSE115469	macparland	/path/to/GSE115469_Data.tsv.gz	pool_norm
